In-Orbit Debris Count: 0
Exited Debris Count: 49

Exited Debris Information:
ID: null | Name: SL-16 DEB | Country: CIS | Orbit: null | Year: 1990 | Site: TTMTR | Long: 73.32 | AvgLong: -41.97 | Geo: "45.965 | DaysOld: 0
ID: null | Name: DELTA 1 DEB | Country: US | Orbit: null | Year: 1965 | Site: AFETR | Long: 69.42 | AvgLong: 102.43 | Geo: "28.4917337 | DaysOld: 0
ID: null | Name: METEOR 2-17 DEB | Country: CIS | Orbit: null | Year: 1988 | Site: PKMTR | Long: -141.58 | AvgLong: 53.89 | Geo: "62.925556 | DaysOld: 0
ID: null | Name: FENGYUN 1C DEB | Country: PRC | Orbit: null | Year: 1999 | Site: TSC | Long: -21.85 | AvgLong: -42.29 | Geo: "38.849086 | DaysOld: 0
ID: null | Name: FENGYUN 1C DEB | Country: PRC | Orbit: null | Year: 1999 | Site: TSC | Long: 132.55 | AvgLong: -71.53 | Geo: "38.849086 | DaysOld: 0
ID: null | Name: FENGYUN 1C DEB | Country: PRC | Orbit: null | Year: 1999 | Site: TSC | Long: -137.89 | AvgLong: 31.22 | Geo: "38.849086 | DaysOld: 0
ID: null | Name: FENGYUN 1C DEB | Country: PRC | Orbit: null | Year: 1999 | Site: TSC | Long: 156.15 | AvgLong: -76.54 | Geo: "38.849086 | DaysOld: 0
ID: null | Name: ARIANE 2 DEB | Country: FR | Orbit: null | Year: 1989 | Site: FRGUI | Long: -166.74 | AvgLong: 133.02 | Geo: "5.222222 | DaysOld: 0
ID: null | Name: IRIDIUM 33 DEB | Country: US | Orbit: null | Year: 1997 | Site: TTMTR | Long: -161.53 | AvgLong: -162.01 | Geo: "45.965 | DaysOld: 0
ID: null | Name: COSMOS 2251 DEB | Country: CIS | Orbit: null | Year: 1993 | Site: PKMTR | Long: 130.75 | AvgLong: 0.00 | Geo: "62.925556 | DaysOld: 0
ID: null | Name: CZ-3C DEB | Country: PRC | Orbit: null | Year: 2012 | Site: XSC | Long: 0.00 | AvgLong: 0.00 | Geo: "28.246017 | DaysOld: 0
ID: null | Name: SL-12 DEB | Country: CIS | Orbit: null | Year: 2008 | Site: TTMTR | Long: 0.00 | AvgLong: 0.00 | Geo: "45.965 | DaysOld: 0
ID: null | Name: ATLAS 5 CENTAUR DEB | Country: US | Orbit: null | Year: 2018 | Site: AFETR | Long: 0.00 | AvgLong: 0.00 | Geo: "28.4917337 | DaysOld: 0
ID: null | Name: COSMOS 2251 DEB | Country: CIS | Orbit: null | Year: 1993 | Site: PKMTR | Long: -1.03 | AvgLong: 145.83 | Geo: "62.925556 | DaysOld: 0
